Business Name,Category,Market Type,City,Country,Rating,Reviews,Payment Potential,Priority,Opportunity Level,Google Maps URL,Sweet Spot Reason
"Hussey’s Fish & Chips","fish and chip restaurants","OTHER","Skegness, England",3.7,935,"MEDIUM","MEDIUM","STANDARD","https://www.google.com/maps/place/Hussey%E2%80%99s+Fish+%26+Chips/data=!4m7!3m6!1s0x47d7c6d0ad27f961:0x8c3f989872b684d!8m2!3d53.1418948!4d0.343196!16s%2Fg%2F1wrgjf08!19sChIJYfknrdDG10cRTWgrh4n5wwg?authuser=0&hl=en&rclk=1","935 reviews - Too established"
"Old Town Fish Bar","fish and chip restaurants","OTHER","Hastings, England",4.1,332,"MEDIUM","MEDIUM","STANDARD","https://www.google.com/maps/place/Old+Town+Fish+Bar/data=!4m7!3m6!1s0x47df1adab5027341:0x45a01a180bae0dd3!8m2!3d50.8553414!4d0.5872241!16s%2Fg%2F1tvdj1vs!19sChIJQXMCtdoa30cR0w2uCxgaoEU?authuser=0&hl=en&rclk=1","332 reviews - Too established"
"Domino's Pizza - Leicester - London Road","pizza delivery","PIZZA_MARKET","Leicester, England",3.7,499,"MEDIUM","MEDIUM","STANDARD","https://www.google.com/maps/place/Domino%27s+Pizza+-+Leicester+-+London+Road/data=!4m7!3m6!1s0x4877613b94cc5a2b:0x6eb3f8554832e202!8m2!3d52.6269375!4d-1.11876!16s%2Fg%2F1tk8bmjv!19sChIJK1rMlDthd0gRAuIySFX4s24?authuser=0&hl=en&rclk=1","499 reviews - Too established"
"Pizza Go Go Leicester","pizza delivery","PIZZA_MARKET","Leicester, England",3.5,312,"MEDIUM","MEDIUM","STANDARD","https://www.google.com/maps/place/Pizza+Go+Go+Leicester/data=!4m7!3m6!1s0x4877611897633a0b:0x97e651326f98dd58!8m2!3d52.6340696!4d-1.1284919!16s%2Fg%2F1td29v70!19sChIJCzpjlxhhd0gRWN2YbzJR5pc?authuser=0&hl=en&rclk=1","312 reviews - Too established"
"Domino's Pizza - Portsmouth - South","pizza delivery","PIZZA_MARKET","Portsmouth, England",4.1,420,"MEDIUM","MEDIUM","STANDARD","https://www.google.com/maps/place/Domino%27s+Pizza+-+Portsmouth+-+South/data=!4m7!3m6!1s0x48745da7929a5cd3:0xf7df02e3f026b97b!8m2!3d50.7983734!4d-1.0771157!16s%2Fg%2F1vl9qz2l!19sChIJ01yakqdddEgRe7km8OMC3_c?authuser=0&hl=en&rclk=1","420 reviews - Too established"
"Milanoz King Pizza – Wokingham Road","pizza takeaway","PIZZA_MARKET","Reading, England",4,336,"MEDIUM","MEDIUM","STANDARD","https://www.google.com/maps/place/Milanoz+King+Pizza+%E2%80%93+Wokingham+Road/data=!4m7!3m6!1s0x487685059e7e3395:0xb5bcd58e0da7051f!8m2!3d51.4492735!4d-0.938329!16s%2Fg%2F11bw46np7s!19sChIJlTN-ngWFdkgRHwWnDY7VvLU?authuser=0&hl=en&rclk=1","336 reviews - Too established"
"Pizza Stazione Cowley","pizza takeaway","PIZZA_MARKET","Oxford, England",4.1,204,"MEDIUM","MEDIUM","ESTABLISHED","https://www.google.com/maps/place/Pizza+Stazione+Cowley/data=!4m7!3m6!1s0x4876c107b7af4ce9:0x3f93144eec48e7b9!8m2!3d51.7285873!4d-1.1989516!16s%2Fg%2F11dxhzd7lh!19sChIJ6UyvtwfBdkgRuedI7E4Ukz8?authuser=0&hl=en&rclk=1","204 reviews - Successful but wants competitive edge"
"Domino's Pizza - Canterbury","pizza takeaway","PIZZA_MARKET","Canterbury, England",4,265,"MEDIUM","MEDIUM","ESTABLISHED","https://www.google.com/maps/place/Domino%27s+Pizza+-+Canterbury/data=!4m7!3m6!1s0x47deca4962d13da7:0xd0444105f6ac1703!8m2!3d51.2824059!4d1.0883877!16s%2Fg%2F1th86dj5!19sChIJpz3RYknK3kcRAxes9gVBRNA?authuser=0&hl=en&rclk=1","265 reviews - Successful but wants competitive edge"
"Wheatstone Inn","pubs with food","PUB_HOSPITALITY","Gloucester, England",4.1,1551,"MEDIUM","MEDIUM","STANDARD","https://www.google.com/maps/place/Wheatstone+Inn/data=!4m7!3m6!1s0x487105ae19cc8811:0xf0c80f7c7fbdd379!8m2!3d51.8686096!4d-2.1972276!16s%2Fg%2F1tg2cysr!19sChIJEYjMGa4FcUgRedO9f3wPyPA?authuser=0&hl=en&rclk=1","1551 reviews - Too established"
"The Three Bridges","pub restaurants","PUB_HOSPITALITY","Durham, England",4.1,1257,"MEDIUM","MEDIUM","STANDARD","https://www.google.com/maps/place/The+Three+Bridges/data=!4m7!3m6!1s0x487e7d4203ab9427:0x296880c4e32049cd!8m2!3d54.7767882!4d-1.5798509!16s%2Fg%2F1xgrmhn5!19sChIJJ5SrA0J9fkgRzUkg48SAaCk?authuser=0&hl=en&rclk=1","1257 reviews - Too established"
